1,0,0,0,0,[(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (4, 1)]
2,0,0,0,1,[(0, 1), (1, 1), (2, 1), (2, 2), (3, 2), (4, 2)]
3,0,0,0,2,[(0, 2), (1, 2), (2, 2), (2, 3), (3, 3), (4, 3)]
4,0,0,0,3,[(0, 3), (1, 3), (2, 3), (2, 4), (3, 4), (4, 4)]
5,0,0,0,4,[(0, 4), (1, 4), (2, 4), (2, 5), (3, 5), (4, 5)]
6,0,0,0,5,[(0, 5), (1, 5), (2, 5), (2, 6), (3, 6), (4, 6)]
7,0,0,0,6,[(0, 6), (1, 6), (2, 6), (2, 7), (3, 7), (4, 7)]
8,0,0,0,7,[(0, 7), (1, 7), (2, 7), (2, 8), (3, 8), (4, 8)]
9,0,0,0,8,[(0, 8), (1, 8), (2, 8), (2, 9), (3, 9), (4, 9)]
10,0,0,0,9,[(0, 9), (1, 9), (2, 9), (2, 10), (3, 10), (4, 10)]
11,0,0,0,10,[(0, 10), (1, 10), (2, 10), (2, 11), (3, 11), (4, 11)]
12,0,0,0,11,[(0, 11), (1, 11), (2, 11), (2, 12), (3, 12), (4, 12)]
13,0,0,0,12,[(0, 12), (1, 12), (2, 12), (2, 13), (3, 13), (4, 13)]
14,0,0,0,13,[(0, 13), (1, 13), (2, 13), (2, 14), (3, 14), (4, 14)]
15,0,0,0,14,[(0, 14), (1, 14), (2, 14), (2, 15), (3, 15), (4, 15)]
16,0,0,0,15,[(0, 15), (1, 15), (2, 15), (2, 16), (3, 16), (4, 16)]
17,0,0,1,0,[(1, 0), (2, 0), (3, 0), (3, 1), (4, 1), (5, 1)]
18,0,0,1,1,[(1, 1), (2, 1), (3, 1), (3, 2), (4, 2), (5, 2)]
19,0,0,1,2,[(1, 2), (2, 2), (3, 2), (3, 3), (4, 3), (5, 3)]
20,0,0,1,3,[(1, 3), (2, 3), (3, 3), (3, 4), (4, 4), (5, 4)]
21,0,0,1,4,[(1, 4), (2, 4), (3, 4), (3, 5), (4, 5), (5, 5)]
22,0,0,1,5,[(1, 5), (2, 5), (3, 5), (3, 6), (4, 6), (5, 6)]
